C_ELE,SI_ELE,MN_ELE,P_ELE,S_ELE,CR_ELE,NI_ELE,CU_ELE,TS,1.00(0),2.00(0),3.00(0),4.00(0),5.00(0),6.00(0),7.00(0),8.21(0),9.21(0),10.21(0),11.21(0),12.41(0),13.41(0),14.41(0),16.27(0),17.27(0),18.27(0),20.13(0),21.13(0),22.13(0),23.73(0),24.73(0),25.73(0),27.34(0),28.34(0),29.34(0),30.77(0),31.77(0),32.77(0),34.21(0),35.21(0),36.21(0),37.64(0),38.64(0),39.64(0),41.08(0),42.08(0),43.08(0),44.32(0),45.32(0),46.32(0),47.55(0),48.55(0),49.55(0),50.79(0),51.79(0),52.79(0),54.03(0),55.03(0),56.03(0),57.27(0),58.27(0),59.27(0),60.51(0),61.51(0),62.51(0),63.75(0),64.75(0),65.75(0),66.99(0),67.99(0),68.99(0),70.23(0),71.23(0),72.23(0),73.47(0),74.47(0),75.47(0),77.24(0),78.24(0),79.24(0),81.00(0),82.00(0),83.00(0),84.00(0),85.60(0),86.60(0),87.60(0),88.60(0),90.19(0),91.19(0),92.19(0),1.00(1),2.00(1),3.00(1),4.00(1),5.00(1),6.00(1),7.00(1),8.21(1),9.21(1),10.21(1),11.21(1),12.41(1),13.41(1),14.41(1),16.27(1),17.27(1),18.27(1),20.13(1),21.13(1),22.13(1),23.73(1),24.73(1),25.73(1),27.34(1),28.34(1),29.34(1),30.77(1),31.77(1),32.77(1),34.21(1),35.21(1),36.21(1),37.64(1),38.64(1),39.64(1),41.08(1),42.08(1),43.08(1),44.32(1),45.32(1),46.32(1),47.55(1),48.55(1),49.55(1),50.79(1),51.79(1),52.79(1),54.03(1),55.03(1),56.03(1),57.27(1),58.27(1),59.27(1),60.51(1),61.51(1),62.51(1),63.75(1),64.75(1),65.75(1),66.99(1),67.99(1),68.99(1),70.23(1),71.23(1),72.23(1),73.47(1),74.47(1),75.47(1),77.24(1),78.24(1),79.24(1),81.00(1),82.00(1),83.00(1),84.00(1),85.60(1),86.60(1),87.60(1),88.60(1),90.19(1),91.19(1),92.19(1),92.19(1).1
0.822,0.21,0.54,0.0144,0.0032,0.017,0.007,0.0091,1047,873.0497584,865.3725539,858.0057588,850.7876344,843.6947253,836.7214801,829.8648892,811.2596448,795.3359735,779.8568268,764.6547494,761.0831562,755.5894,750.0512562,744.5853598,739.2015016,733.8990989,728.6765187,723.5320562,718.4640382,713.4708327,708.5508494,703.7025383,698.9243893,694.2149307,689.5727282,684.9963842,680.4845369,676.0358586,671.6490557,667.3228671,663.0560637,668.7661049,681.3771694,684.1042798,681.5515538,677.4354782,673.052018,668.7082913,664.422668,660.1954701,656.0256512,651.9120746,647.8536217,643.8492012,639.8977486,635.9982259,632.1496205,628.3509449,624.6012358,620.8995532,617.2449803,613.6366223,610.073606,606.5550792,603.0802102,599.648187,596.2582171,592.9095265,589.6013596,586.3329785,583.1036624,579.9127076,576.7594262,573.6431468,570.5632127,567.5189829,564.5098306,561.5351432,558.5943222,555.6867822,552.8119512,549.9692697,547.1581909,544.3781798,541.6287132,538.9092796,536.2193783,533.5585196,530.9262245,528.3220242,525.7454599,873.0497584,865.3725539,858.0057588,850.7876344,843.6947253,836.7214801,829.8648892,810.8224663,794.5594285,778.753661,763.2314938,759.7538851,754.2851359,748.7674628,743.3212372,737.9565897,732.6729789,727.4687852,722.3423145,717.2919035,712.3159301,707.4128135,702.5810132,697.819028,693.125395,688.4986888,683.93752,679.4405349,675.006414,670.6338711,666.3216529,662.0685374,682.2154042,687.0727409,684.7215479,680.619197,676.25841,671.8804798,667.5523552,663.2825293,659.0708447,654.9162309,650.8175564,646.77371,642.7836077,638.8461922,634.9604323,631.1253223,627.3398812,623.6031521,619.9142013,616.2721179,612.6760129,609.1250189,605.6182892,602.1549975,598.734337,595.3555203,592.0177783,588.7203603,585.462533,582.2435802,579.0628025,575.9195165,572.8130547,569.7427649,566.7080096,563.708166,560.7426255,557.8107928,554.9120865,552.0459377,549.2117906,546.4091013,543.6373382,540.8959812,538.1845217,535.5024621,532.8493155,530.2246058,527.6278666,525.0586421,525.6406506
0.822,0.21,0.54,0.0144,0.0032,0.017,0.007,0.0091,1055,883.7147891,875.835172,868.2863938,860.8930693,853.6292386,846.488859,839.4687903,820.6282486,804.5409058,788.908902,773.5565555,769.9040258,764.2799507,758.6082866,753.0109037,747.4982996,742.0699295,736.7241044,731.4590523,726.2730327,721.1643477,716.1313427,711.172405,706.2859633,701.4704862,696.7244816,692.0464954,687.4351105,682.8889461,678.4066562,673.9869293,669.628487,665.3300831,661.0905031,683.2105524,687.5714328,684.8432554,680.5128328,676.0728099,671.6861528,667.3595089,663.092209,658.8831017,654.7310228,650.6348334,646.593423,642.6057086,638.6706342,634.7871697,630.9543105,627.1710768,623.4365126,619.7496854,616.1096851,612.5156239,608.9666352,605.4618733,602.0005128,598.5817477,595.2047914,591.8688759,588.5732509,585.3171842,582.0999602,578.9208803,575.7792618,572.6744379,569.605757,566.5725824,563.5742919,560.6102773,557.6799443,554.7827118,551.9180117,549.0852884,546.2839989,543.513612,540.7736082,538.0634792,535.3827281,532.7308684,530.1074243,883.7147891,875.835172,868.2863938,860.8930693,853.6292386,846.488859,839.4687903,820.188254,803.7612769,787.8025859,772.1299676,768.5736324,762.9749969,757.3240421,751.7465377,746.2533424,740.8439554,735.5167016,730.2698195,725.101579,720.0102921,714.9943137,710.0520409,705.1819115,700.3824031,695.6520323,690.9893537,686.3929584,681.8614736,677.3935615,672.9879179,668.643272,664.3583849,660.132049,683.2899554,687.3708566,684.5674733,680.1539992,675.7195059,671.3379484,667.01612,662.7535193,658.5490148,654.4014464,650.3096777,646.2726003,642.2891336,638.3582235,634.478842,630.6499867,626.8706795,623.1399664,619.4569167,615.8206222,612.2301966,608.6847751,605.1835138,601.7255886,598.3101953,594.9365487,591.6038821,588.311447,585.0585123,581.8443638,578.6683042,575.5296522,572.4277421,569.3619235,566.331561,563.3360334,560.3747338,557.4470687,554.5524583,551.6903353,548.8601453,546.0613462,543.2934077,540.5558112,537.8480495,535.1696263,532.5200561,529.8988639,528.8493284
0.82,0.2,0.52,0.0106,0.0057,0.058,0.007,0.0097,1027,888.5590158,880.586461,872.9545265,865.4812373,858.1394013,850.9227337,843.8280344,818.9485489,798.2392917,778.1677002,758.4643229,747.6660738,735.5134477,723.4610604,719.7682971,714.8403333,709.907917,705.0405781,700.2431443,695.5147412,690.8539831,686.259468,681.7298245,677.2637158,672.8598389,668.5169238,664.2337324,660.0090582,683.3104025,687.3495237,684.534819,680.1087027,675.6742111,671.2932187,666.971968,662.7099348,658.5059866,654.3589634,650.2677291,646.2311756,642.2482225,638.317816,634.4389284,630.6105574,626.8317253,623.1014782,619.4188856,615.7830396,612.1930541,608.6480646,605.1472271,601.6897179,598.274733,594.9014874,591.5692145,588.277166,585.0246109,581.8108353,578.6351419,575.4968496,572.3952929,569.3298216,566.2998002,563.3046079,560.3436378,557.4162966,554.5220045,551.6601945,548.8303123,546.0318157,543.2641747,540.5268708,537.8193968,535.1412566,532.4919648,529.8710465,527.278037,524.7124814,522.1739347,519.6619611,517.1761342,514.7160364,888.5590158,880.586461,872.9545265,865.4812373,858.1394013,850.9227337,843.8280344,818.2937194,797.0849173,776.5336356,756.3605261,745.3988689,733.0356773,720.7739221,717.1619307,712.2743371,707.3795663,702.5489508,697.78746,693.0942473,688.4679465,683.9071742,679.4105774,674.9768369,670.6046667,666.2928137,662.0400561,682.2238373,687.0685934,684.7136294,680.6107544,676.2499492,671.8720841,667.5440368,663.2742883,659.06268,654.9081408,650.8095396,646.7657651,642.7757333,638.838387,634.952695,631.1176517,627.3322761,623.5956113,619.9067235,616.264702,612.6686579,609.1177236,605.6110526,602.1478186,598.7272148,595.3484538,592.0107665,588.7134023,585.4556279,582.2367271,579.0560005,575.9127647,572.8063524,569.7361111,566.7014037,563.7016072,560.7361129,557.8043258,554.9056642,552.0395595,549.2054558,546.4028092,543.6310881,540.8897726,538.1783538,535.4963343,532.8432273,530.2185565,527.6218557,525.0526689,522.5105497,519.9950611,517.5057755,515.0422741,512.604147,513.6625386
0.82,0.2,0.52,0.0106,0.0057,0.058,0.007,0.0097,1046,894.3689036,886.2840721,878.552071,870.9826508,863.547049,856.2386722,849.0542462,824.0242104,803.2248543,783.0707315,763.2850429,752.4321663,740.2037774,728.0742212,724.3316849,719.3383055,714.3400972,709.4081285,704.5473989,699.7570256,695.0355922,690.3816639,685.7938373,681.2707443,676.8110515,672.4134592,668.0767007,663.7995414,659.5807776,683.3534219,687.2641676,684.4162709,679.9592378,675.524424,671.1453378,666.8261091,662.5660691,658.364075,654.2189669,650.1296096,646.0948959,642.1137464,638.185108,634.3079541,630.4812832,626.7041183,622.9755064,619.2945178,615.6602453,612.0718036,608.5283288,605.0289777,601.5729274,598.1593742,594.787534,591.4566408,588.1659468,584.9147217,581.7022521,578.5278413,575.3908087,572.2904894,569.2262336,566.1974064,563.2033874,560.2435702,557.317362,554.4241834,551.5634679,548.7346614,545.9372225,543.1706213,540.4343398,537.7278711,535.0507196,532.4024001,529.7824382,527.1903694,524.6257393,522.088103,519.5770253,517.0920799,894.3689036,886.2840721,878.552071,870.9826508,863.547049,856.2386722,849.0542462,823.3670419,802.0679935,781.4341492,761.1785257,750.1629139,737.7238624,725.3847325,721.7237726,716.771059,711.810743,706.9157324,702.0911722,697.3362076,692.6494422,688.02946,683.4748761,678.9843403,674.5565364,670.1901818,665.8840263,661.6368511,683.1828515,687.6939971,685.0073506,680.7223961,676.2764277,671.8866556,667.5571915,663.2871484,659.0753548,654.9206436,650.8218744,646.7779355,642.7877425,638.8502381,634.9643911,631.1291959,627.3436712,623.6068602,619.9178291,616.275667,612.6794848,609.1284152,605.6216113,602.1582469,598.7375152,595.3586285,592.020818,588.7233327,585.4654394,582.2464219,579.0655806,575.9222324,572.8157094,569.7453595,566.7105454,563.710644,560.7450467,557.8131583,554.9143973,552.0481948,549.2139949,546.4112538,543.6394399,540.898033,538.1865244,535.5044166,532.8512227,530.2264664,527.6296815,525.0604121,522.5182115,520.0026429,517.5132786,515.0496997,516.02804
0.82,0.2,0.52,0.0106,0.0057,0.058,0.007,0.0097,1088,893.4008271,885.3347669,877.619467,870.0660843,862.6461248,855.3530479,848.1835921,823.178695,802.3943194,782.2539015,762.4818824,751.6380699,739.4222953,727.305594,723.5713575,718.5889011,713.6016809,708.6805062,703.8303476,699.0503236,694.3390228,689.695016,685.1169051,680.6033273,676.1529541,671.764491,667.4366761,663.1682793,667.1356002,681.3186749,684.5010126,681.9497478,677.8093265,673.4163321,669.0671525,664.7765373,660.5444792,656.3699001,652.2516587,648.1886338,644.1797316,640.2238854,636.3200551,632.4672259,628.6644084,624.9106371,621.2049702,617.5464889,613.9342966,610.3675184,606.8453003,603.3668088,599.9312305,596.5377711,593.1856552,589.8741255,586.6024428,583.3698849,580.1757465,577.0193386,573.8999882,570.8170377,567.7698446,564.7577808,561.7802329,558.8366008,555.9262984,553.0487523,550.2034022,547.3897001,544.60711,541.8551079,539.133181,536.4408281,533.7775584,531.142892,528.5363592,525.9575005,523.4058661,520.8810156,518.3825183,515.909952,893.4008271,885.3347669,877.619467,870.0660843,862.6461248,855.3530479,848.1835921,822.5219174,801.2378719,780.6177349,760.3758121,749.3691503,736.9427281,724.6164864,720.9636921,716.0218525,711.0724837,706.1882283,701.3742016,696.6295501,691.9528824,687.3427881,682.7978875,678.3168355,673.8983212,669.5410667,665.2438267,661.0053871,683.2254505,687.5566913,684.8200151,680.4793841,676.0402245,671.6540306,667.327797,663.0608953,658.8521778,654.7004808,650.6046659,646.5636227,642.5762683,638.6415467,634.7584284,630.9259087,627.1430079,623.4087704,619.7222636,616.0825778,612.4888251,608.9401392,605.4356745,601.9746057,598.5561271,595.179452,591.8438125,588.5484587,585.2926582,582.0756958,578.8968727,575.7555066,572.6509306,569.5824933,566.5495581,563.5515029,560.5877196,557.6576139,554.7606048,551.8961243,549.0636171,546.26254,543.4923619,540.7525635,538.0426366,535.3620842,532.71042,530.0871682,527.4918634,524.9240498,522.3832816,519.8691224,517.3811447,514.9189304,515.9129868
0.82,0.19,0.53,0.0115,0.0067,0.012,0.006,0.0077,1097,893.4008271,885.3347669,877.619467,870.0660843,862.6461248,855.3530479,848.1835921,823.178695,802.3943194,782.2539015,762.4818824,751.6380699,739.4222953,727.305594,723.5713575,718.5889011,713.6016809,708.6805062,703.8303476,699.0503236,694.3390228,689.695016,685.1169051,680.6033273,676.1529541,671.764491,667.4366761,663.1682793,667.1350934,681.3179285,684.5006861,681.9496785,677.8093446,673.4163543,669.0671747,664.7765593,660.5445008,656.3699215,652.2516798,648.1886546,644.1797521,640.2239057,636.320075,632.4672456,628.6644278,624.9106563,621.2049892,617.5465077,613.9343151,610.3675367,606.8453183,603.3668267,599.9312481,596.5377885,593.1856723,589.8741425,586.6024596,583.3699014,580.1757628,577.0193547,573.9000042,570.8170535,567.7698602,564.7577963,561.7802481,558.8366159,555.9263133,553.0487671,550.2034168,547.3897145,544.6071243,541.855122,539.133195,536.4408419,533.777572,531.1429055,528.5363726,525.9575138,523.4058792,520.8810286,518.3825311,515.9099647,893.4008271,885.3347669,877.619467,870.0660843,862.6461248,855.3530479,848.1835921,822.5219174,801.2378719,780.6177349,760.3758121,749.3691503,736.9427281,724.6164864,720.9636921,716.0218525,711.0724837,706.1882283,701.3742016,696.6295501,691.9528824,687.3427881,682.7978875,678.3168355,673.8983212,669.5410667,665.2438267,661.0053871,683.2238669,687.5560761,684.8197319,680.4791597,676.0400063,671.6538157,667.327585,663.0606862,658.8519716,654.7002774,650.6044652,646.5634246,642.5760728,638.6413539,634.758238,630.9257208,627.1428225,623.4085874,619.7220829,616.0823994,612.4886489,608.9399653,605.4355027,601.974436,598.5559594,595.1792864,591.8436489,588.5482971,585.2924985,582.075538,578.8967168,575.7553525,572.6507784,569.5823428,566.5494094,563.5513559,560.5875742,557.6574702,554.7604627,551.8959838,549.0634781,546.2624026,543.492226,540.7524291,538.0425036,535.3619526,532.7102899,530.0870395,527.491736,524.9239238,522.383157,519.868999,517.3810226,514.9188096,515.9128515
0.82,0.2,0.52,0.0106,0.0057,0.058,0.007,0.0097,1106,891.4643867,883.4357988,875.7538734,868.2325471,860.8438549,853.5813602,846.4418261,821.4871496,800.7327783,780.6198306,760.8752097,750.0495742,737.8590436,725.7680602,722.0504184,717.0897835,712.1245122,707.2248988,702.3958562,697.6365057,692.9454461,688.3212591,683.7625575,679.2679887,674.8362345,670.4660102,666.1560636,661.9051738,683.1674497,687.7537007,685.0884457,680.8293594,676.3794705,671.9881073,667.657232,663.3858183,659.1726829,655.0166568,650.916599,646.8713969,642.8799657,638.9412474,635.0542102,631.2178479,627.4311787,623.6932451,620.0031129,616.3598706,612.7626288,609.2105194,605.7026952,602.2383295,598.816615,595.4367637,592.0980061,588.7995912,585.540785,582.3208711,579.1391496,575.9949367,572.8875646,569.8163805,566.7807468,563.7800402,560.8136516,557.8809858,554.9814606,552.114507,549.2795689,546.476102,543.7035745,540.9614661,538.2492677,535.5664814,532.9126204,530.2872078,527.6897775,525.119873,522.5770478,520.0608645,517.5708953,515.1067213,891.4643867,883.4357988,875.7538734,868.2325471,860.8438549,853.5813602,846.4418261,820.8311524,799.5771586,778.9845002,758.7700409,747.7813302,735.3801836,723.0797276,719.4432596,714.5231432,709.5956412,704.7328691,699.9398832,695.2158326,690.5593361,685.968994,681.4434375,676.9813317,672.5813758,668.2423018,663.9628739,659.7418872,683.336788,687.2960104,684.4605748,680.0128109,675.5781316,671.1983712,666.8784184,662.6176638,658.414969,654.2691741,650.1791436,646.1437702,642.1619739,638.2327015,634.3549259,630.5276453,626.7498825,623.0206842,619.3391204,615.7042836,612.1152883,608.5712703,605.0713862,601.6148127,598.2007461,594.8284019,591.4970139,588.2058342,584.9541321,581.7411941,578.5663234,575.4288391,572.328076,569.2633843,566.2341288,563.2396891,560.2794584,557.3528439,554.459266,551.598158,548.7689657,545.9711475,543.2041734,540.4675252,537.760696,535.08319,532.4345218,529.8142169,527.2218107,524.6568487,522.118886,519.607487,517.1222254,514.662684,514.5675185
0.82,0.2,0.52,0.0106,0.0057,0.058,0.007,0.0097,1111,892.4326546,884.3853423,876.6867343,869.1493829,861.74506,854.4672772,847.3127854,822.3330079,801.5636274,781.4369345,761.6786046,750.8438725,738.6407173,726.5368737,722.8109354,717.8393938,712.8631526,707.952763,703.1131668,698.3434837,693.6423075,689.0082145,684.4398119,679.9357421,675.4946819,671.1153415,666.7964638,662.5368235,676.4929977,683.6337922,683.4729218,680.3532479,676.2452157,671.8915677,667.565356,663.2954992,659.0836185,654.928798,650.8299196,646.7858734,642.7955752,638.8579678,634.9720197,631.1367253,627.3511035,623.6141971,619.9250725,616.2828187,612.6865465,609.1353886,605.6284981,602.1650486,598.7442334,595.3652648,592.0273739,588.7298096,585.4718388,582.2527451,579.0718291,575.9284074,572.8218124,569.7513916,566.7165079,563.7165381,560.7508736,557.8189192,554.9200933,552.053827,549.2195644,546.4167617,543.6448871,540.9034206,538.1918535,535.509688,532.8564375,530.2316254,527.6347858,525.0654624,522.5232088,520.007588,517.5181723,515.0545428,892.4326546,884.3853423,876.6867343,869.1493829,861.74506,854.4672772,847.3127854,821.6766208,800.4075935,779.8011851,759.5729838,748.575289,736.1615018,723.8481515,720.2035212,715.2725472,710.3341164,705.4606072,700.6571053,695.9227585,691.2561805,686.6559662,682.1207413,677.6491661,673.2399344,668.8917735,664.6034427,660.3737326,683.276828,687.4239738,684.6376982,680.2380175,675.8027847,671.4200461,667.097051,662.8333073,658.6276829,654.479017,650.3861728,646.3480413,642.3635412,638.4316181,634.5512435,630.7214144,626.9411522,623.2095026,619.5255343,615.8883386,612.2970291,608.7507403,605.248628,601.7898677,598.3736548,594.9992038,591.6657476,588.3725373,585.1188415,581.9039457,578.7271523,575.5877796,572.4851617,569.4186478,566.3876023,563.3914037,560.4294448,557.5011319,554.6058848,551.7431361,548.9123312,546.1129276,543.3443948,540.6062141,537.8978779,535.2188898,532.5687641,529.9470256,527.3532092,524.78686,522.2475324,519.7347905,517.2482076,514.7873658,515.8002552
0.825,0.2,0.51,0.0124,0.0064,0.014,0.005,0.0078,964,898.2400848,890.0799643,882.2811388,874.6475932,867.1494547,859.7799104,852.5356354,827.4043859,806.5453749,786.336897,766.4970394,752.6352999,737.9697803,723.4828656,720.2929144,715.3884933,710.450983,705.5761125,700.7710603,696.0351745,691.3670874,686.7653952,682.2287227,677.7557295,673.3451087,668.9955869,664.7059227,660.4749058,683.255747,687.4397588,684.6638284,680.2792881,675.8437615,671.4605288,667.1370649,662.8728637,658.6667911,654.5176859,650.4244109,646.3858571,642.4009429,638.4686135,634.5878405,630.7576204,626.9769748,623.2449489,619.5606113,615.9230532,612.3313879,608.78475,605.2822949,601.823198,598.4066546,595.031879,591.698104,588.4045806,585.1505772,581.9353792,578.7582889,575.6186244,572.5157197,569.448924,566.4176015,563.4211305,560.4589039,557.5303277,554.6348217,551.7718185,548.9407632,546.1411133,543.3723383,540.6339192,537.9253485,535.2461297,532.595777,529.973815,527.3797787,524.813213,522.2736723,519.7607207,517.2739312,514.8128861,898.2400848,890.0799643,882.2811388,874.6475932,867.1494547,859.7799104,852.5356354,826.7456292,805.3868456,784.6986539,764.3887568,750.2608225,735.3002591,720.522432,717.4310729,712.5714081,707.6752687,702.8407371,698.0751659,693.3779343,688.7476958,684.183067,679.6826931,675.2452527,670.8694582,666.5540542,662.2978172,678.739426,684.8033002,683.7315491,680.2392593,676.0707232,671.7164044,667.3925575,663.1251485,658.9156727,654.7632092,650.6666408,646.6248587,642.6367798,638.7013478,634.8175327,630.9843296,627.2007586,623.4658634,619.7787114,616.1383925,612.5440186,608.9947229,605.4896597,602.0280034,598.608948,595.2317066,591.895511,588.5996111,585.3432742,582.1257849,578.9464443,575.8045698,572.6994942,569.6305661,566.5971485,563.5986191,560.6343698,557.703806,554.8063465,551.9414233,549.1084806,546.3069754,543.5363763,540.7961637,538.0858294,535.4048763,532.7528178,530.1291782,527.5334917,524.9653025,522.4241647,519.9096416,517.4213058,514.958739,512.5215315,513.7951279
0.834,0.2,0.52,0.0131,0.0054,0.013,0.006,0.0105,984,884.6833078,876.7852311,869.2200341,861.8109517,854.5317629,847.3763721,840.3416255,815.5607111,794.9122017,774.8968126,755.2496074,741.539177,727.0573356,712.7563001,709.6673054,704.9126011,700.1269138,695.401348,690.7425549,686.1498869,681.6220447,677.1576993,672.7555491,668.4143251,664.1327903,659.9097388,683.2807831,687.313096,684.4983272,680.0729807,675.639254,671.2590017,666.938474,662.6771485,658.4738933,654.3275487,650.2369792,646.2010769,642.2187616,638.2889801,634.4107048,630.5829338,626.8046896,623.0750187,619.3929909,615.7576984,612.1682556,608.6237981,605.1234823,601.6664847,598.2520014,594.8792477,591.5474573,588.2558821,585.0037912,581.7904711,578.6152247,575.4773709,572.3762445,569.3111955,566.2815887,563.2868033,560.3262326,557.3992835,554.5053764,551.6439443,548.8144333,546.0163012,543.2490183,540.512066,537.8049374,535.1271365,532.4781781,529.8575873,527.2648996,524.6996602,522.1614243,519.6497562,517.1642294,514.7044267,512.2699392,509.8603668,884.6833078,876.7852311,869.2200341,861.8109517,854.5317629,847.3763721,840.3416255,814.9073721,793.759437,773.2644209,753.1476671,739.1703673,724.3941048,709.8030534,706.810361,702.0996276,697.3546604,692.6688142,688.0489048,683.4943141,679.0037639,674.5759449,670.2095751,665.9034043,661.6562137,665.1966629,680.8994184,684.1880895,681.5562495,677.3851506,672.9948904,668.6515044,664.3668162,660.1405865,655.9717205,651.8590778,647.80154,643.7980161,639.8474422,635.9487805,632.101019,628.3031707,624.5542725,620.853385,617.1995917,613.591998,610.0297313,606.5119397,603.0377918,599.606476,596.2172,592.8691902,589.5616914,586.2939658,583.0652931,579.8749696,576.7223081,573.606637,570.5273003,567.4836569,564.4750803,561.5009584,558.5606927,555.6536981,552.7794029,549.9372477,547.1266859,544.3471827,541.5982153,538.8792721,536.1898527,533.5294678,530.8976383,528.2938957,525.7177813,523.1688463,520.6466515,518.1507668,515.6807712,513.2362525,510.8168073,508.4220402,508.8194846
